segment_id,meal_slug,sure,ayet,class,cond_sart_flag,A0_ABL_score,T0_DAT_score,Pi0_static,D0_static,steps,B_final,T_final,Pi_final,D_final
mahmutkisa_s030_a041,mahmutkisa,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mahmutozdemir_s002_a010,mahmutozdemir,2,10,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
mahmutozdemir_s016_a112,mahmutozdemir,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mahmutozdemir_s008_a053,mahmutozdemir,8,53,teleological_surface,0,0.000000,0.700000,-0.700000,0,12,0.000000,1.401005,-1.401005,0
mahmutozdemir_s007_a096,mahmutozdemir,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mahmutozdemir_s030_a041,mahmutozdemir,30,41,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
mehmetcakir_s002_a010,mehmetcakir,2,10,teleological_surface,0,0.000000,1.500000,-1.500000,0,12,0.000000,3.002154,-3.002154,0
mehmetcakir_s016_a112,mehmetcakir,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetcakir_s008_a053,mehmetcakir,8,53,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
mehmetcakir_s007_a096,mehmetcakir,7,96,conditional_only,1,0.000000,0.000000,-1.500000,0,12,0.000000,0.000000,-1.500000,0
mehmetcakir_s030_a041,mehmetcakir,30,41,mixed,1,1.000000,1.500000,-2.000000,0,12,2.001436,3.002154,-2.500718,0
mehmetcoban_s002_a010,mehmetcoban,2,10,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
mehmetcoban_s016_a112,mehmetcoban,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetcoban_s008_a053,mehmetcoban,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetcoban_s007_a096,mehmetcoban,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetcoban_s030_a041,mehmetcoban,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetokuyan_s002_a010,mehmetokuyan,2,10,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
mehmetokuyan_s016_a112,mehmetokuyan,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetokuyan_s008_a053,mehmetokuyan,8,53,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
mehmetokuyan_s007_a096,mehmetokuyan,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetokuyan_s030_a041,mehmetokuyan,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetturk_s002_a010,mehmetturk,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetturk_s016_a112,mehmetturk,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetturk_s008_a053,mehmetturk,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mehmetturk_s007_a096,mehmetturk,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
mehmetturk_s030_a041,mehmetturk,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
muhammedesed_s002_a010,muhammedesed,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
muhammedesed_s016_a112,muhammedesed,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
muhammedesed_s008_a053,muhammedesed,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
muhammedesed_s007_a096,muhammedesed,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
muhammedesed_s030_a041,muhammedesed,30,41,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
mustafacavdar_s002_a010,mustafacavdar,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
